1709080800000,0.09686000,0.09691000,0.09680000,0.09690000,1768348.00000000,1709080859999,171253.99976000,302,1036485.00000000,100375.18761000,0
1709080860000,0.09690000,0.09690000,0.09679000,0.09683000,869912.00000000,1709080919999,84232.88483000,189,226324.00000000,21913.33668000,0
1709080920000,0.09682000,0.09687000,0.09678000,0.09683000,1189965.00000000,1709080979999,115213.29666000,166,688617.00000000,66674.19708000,0
1709080980000,0.09682000,0.09682000,0.09665000,0.09668000,1827719.00000000,1709081039999,176762.86324000,364,385380.00000000,37261.18019000,0
1709081040000,0.09669000,0.09682000,0.09661000,0.09666000,2253639.00000000,1709081099999,217953.51372000,432,1113757.00000000,107738.24606000,0
1709081100000,0.09666000,0.09700000,0.09666000,0.09700000,3183901.00000000,1709081159999,308360.40247000,424,2323475.00000000,225029.70679000,0
1709081160000,0.09700000,0.09708000,0.09699000,0.09704000,1242053.00000000,1709081219999,120533.61774000,331,317755.00000000,30836.69844000,0
1709081220000,0.09704000,0.09708000,0.09696000,0.09696000,1058901.00000000,1709081279999,102714.34917000,217,505433.00000000,49023.55368000,0
1709081280000,0.09696000,0.09706000,0.09690000,0.09691000,979896.00000000,1709081339999,95047.22847000,183,100819.00000000,9776.57148000,0
1709081340000,0.09691000,0.09723000,0.09684000,0.09716000,4226497.00000000,1709081399999,410085.79977000,667,2931474.00000000,284405.13073000,0
1709081400000,0.09714000,0.09724000,0.09713000,0.09723000,1297797.00000000,1709081459999,126139.06281000,256,625380.00000000,60783.18952000,0
1709081460000,0.09722000,0.09722000,0.09709000,0.09713000,767543.00000000,1709081519999,74562.95028000,153,179028.00000000,17385.91008000,0
1709081520000,0.09713000,0.09720000,0.09709000,0.09711000,588636.00000000,1709081579999,57189.41128000,172,203273.00000000,19746.20896000,0
1709081580000,0.09711000,0.09720000,0.09692000,0.09711000,3540747.00000000,1709081639999,343543.18226000,522,2071937.00000000,200982.76397000,0
1709081640000,0.09712000,0.09720000,0.09711000,0.09718000,767250.00000000,1709081699999,74539.11522000,164,289361.00000000,28110.34729000,0
1709081700000,0.09718000,0.09749000,0.09718000,0.09742000,1625559.00000000,1709081759999,158300.57778000,533,953866.00000000,92869.74762000,0
1709081760000,0.09741000,0.09752000,0.09737000,0.09739000,1504308.00000000,1709081819999,146565.93408000,267,774676.00000000,75473.32326000,0
1709081820000,0.09740000,0.09740000,0.09716000,0.09723000,1400605.00000000,1709081879999,136221.13211000,250,283725.00000000,27596.13472000,0
1709081880000,0.09723000,0.09749000,0.09716000,0.09747000,3673919.00000000,1709081939999,357647.01604000,612,2323850.00000000,226151.63809000,0
1709081940000,0.09747000,0.09761000,0.09742000,0.09756000,1552482.00000000,1709081999999,151390.82366000,438,908190.00000000,88568.43394000,0
1709082000000,0.09755000,0.09767000,0.09750000,0.09766000,1218802.00000000,1709082059999,118949.98253000,402,940869.00000000,91818.70985000,0
1709082060000,0.09766000,0.09788000,0.09766000,0.09781000,1961083.00000000,1709082119999,191828.94623000,531,1320627.00000000,129177.27933000,0
1709082120000,0.09781000,0.09817000,0.09777000,0.09798000,6758673.00000000,1709082179999,662462.33860000,863,2748975.00000000,269312.52489000,0
1709082180000,0.09798000,0.09813000,0.09786000,0.09806000,3147711.00000000,1709082239999,308630.78952000,553,1187238.00000000,116381.14175000,0
